Variation Label,Parent Product,Variation SKU,SKU Status,Linked Attributes,Regular Price,Tiered Pricing,Stock,Is Active?,Published
Variation — recbgyAFPrVRzhOOA,Round Column Set - Tuscan Cap & Base — 333,,,,,,,checked,
Variation — recKl8HY8OgzjbMBw,Round Column Set - Tuscan Cap & Base — 0081E,,,,,,,,
Variation — recJokRNP9rLQUCgk,Round Column Set - Tuscan Cap & Base — 111,,,,,,,,
TEST-VARIABLE-001-S,,TEST-VARIABLE-001-S,,,$111.00,,5,checked,checked
TEST-VARIABLE-001-L,,TEST-VARIABLE-001-L,,,$222.00,,5,checked,checked
TEST-VARIABLE-055-test,test airtable 334 — TEST-VARIABLE11-004,TEST-VARIABLE-055-test,,,$555.00,"7:173,20:165",22,checked,checked
TEST-VARIABLE-1,test airtable 1 — TEST-VARIABLE1,TEST-VARIABLE-1,,,$200.00,"7:173,20:165",1,checked,checked
Variation — rec8RJYXJQRGwM9EW,"""Smooth Wood Beams — TEST_SWB-001
""",,,,$160.00,,5,checked,
TEST-VARIABLE-999,test airtable 1 — TEST-VARIABLE1,TEST-VARIABLE-999,,,$777.00,,10,checked,
3D-MOD001-1,3dsignfactory-test — 3D-MOD001,3D-MOD001-1,OK,"""Width — 3"""""",""Height — 6"""""",""Length — 4' 3"""" (51"""")""",$70.00,,10,checked,checked
3D-MOD001-2,3dsignfactory-test — 3D-MOD001,3D-MOD001-2,OK,"""Height — 7"""""",""Width — 3"""""",""Length — 5' 9"""" (69"""")""",$80.00,,10,checked,checked
CCS-MOD001-0001,Coffered Ceiling System MOD001 — CCS-MOD001,CCS-MOD001-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
CCS-MOD002-0001,Coffered Ceiling System MOD002 — CCS-MOD002,CCS-MOD002-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
CCS-MOD003-0001,Coffered Ceiling System MOD003 — CCS-MOD003,CCS-MOD003-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
CCS-MOD004-0001,Coffered Ceiling System MOD004 — CCS-MOD004,CCS-MOD004-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
CCS-MOD005-0001,Coffered Ceiling System MOD005 — CCS-MOD005,CCS-MOD005-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
CCS-MOD006-0001,Coffered Ceiling System MOD006 — CCS-MOD006,CCS-MOD006-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
CCS-MOD007-0001,Coffered Ceiling System MOD007 — CCS-MOD007,CCS-MOD007-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
CCS-MOD008-0001,Coffered Ceiling System MOD008 — CCS-MOD008,CCS-MOD008-0001,OK,"""Width — 4"""""",""Height — 4"""""",""Length — 8' (96"""")""",$257.00,,10,checked,checked
GBV-MOD001-0001,"""NovikVent Half Round Gable Vent 22""""x34"""" - White — GBV-MOD001""",GBV-MOD001-0001,OK,"""Width — 22"""""",""Height — 34""""""",$103.00,,10,checked,checked
GBV-MOD002-0001,"""NovikVent Round 16"""" — GBV-MOD002""",GBV-MOD002-0001,OK,"""Diameter — 16""""""",$46.00,,10,checked,checked
GBV-MOD003-0001,"""NovikVent Round 22"""" — GBV-MOD003""",GBV-MOD003-0001,OK,"""Diameter — 22""""""",$61.00,,10,checked,checked
GBV-MOD004-0001,"""NovikVent Octagonal 16"""" — GBV-MOD004""",GBV-MOD004-0001,OK,"""Diameter — 16""""""",$46.00,,10,checked,checked
GBV-MOD005-0001,"""NovikVent Octagonal 22"""" — GBV-MOD005""",GBV-MOD005-0001,OK,"""Diameter — 22""""""",$61.00,,10,checked,checked
GBV-MOD006-0001,"""NovikVent Square 12""""x12"""" - White — GBV-MOD006""",GBV-MOD006-0001,OK,"""Width — 12"""""",""Height — 12""""""",$43.00,,10,checked,checked
GBV-MOD007-0001,"""NovikVent Rectangular 12""""x18"""" - White — GBV-MOD007""",GBV-MOD007-0001,OK,"""Width — 12"""""",""Height — 18""""""",$56.00,,10,checked,checked
GBV-MOD008-0001,"""NovikVent Rectangular 18""""x24"""" - White — GBV-MOD008""",GBV-MOD008-0001,OK,"""Width — 18"""""",""Height — 24""""""",$65.00,,10,checked,checked
FWT-MOD001-0001,Arched Cord King Post Truss with Straight Diagonals — FWT-MOD001,FWT-MOD001-0001,OK,"""Width — 3"""""",""Width — 4"""""",""Width — 4.5""""""",,,10,checked,checked
FWT-MOD001-0002,Raised Cord King Post Truss with Straight Diagonal — FWT-MOD002,FWT-MOD001-0002,OK,"""Width — 3"""""",""Width — 4"""""",""Width — 5""""""",,,10,checked,checked
MS-MOD001-0001,Monument Sign MS 001 — MS-MOD001,MS-MOD001-0001,OK,"""Height — 72"""""",""Length — 48"""""",""Depth — 48""""""",$6750.00,,10,checked,checked
MS-MOD001-0002,Monument Sign MS 001 — MS-MOD001,MS-MOD001-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$6750.00,,10,checked,checked
MS-MOD002-0001,Monument Sign MS 002 — MS-MOD002,MS-MOD002-0001,OK,"""Height — 62"""""",""Length — 120"""""",""Depth — 18""""""",$9375.00,,10,checked,checked
MS-MOD002-0002,Monument Sign MS 002 — MS-MOD002,MS-MOD002-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$9375.00,,10,checked,checked
MS-MOD003-0001,Monument Sign MS 003 — MS-MOD003,MS-MOD003-0001,OK,"""Height — 96"""""",""Length — 66"""""",""Depth — 24""""""",$8950.00,,10,checked,checked
MS-MOD003-0002,Monument Sign MS 003 — MS-MOD003,MS-MOD003-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$8950.00,,10,checked,checked
MS-MOD004-0001,Monument Sign MS 004 — MS-MOD004,MS-MOD004-0001,OK,"""Height — 96"""""",""Length — 240"""""",""Depth — 32""""""",$11750.00,,10,checked,checked
MS-MOD004-0002,Monument Sign MS 004 — MS-MOD004,MS-MOD004-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$11750.00,,10,checked,checked
MS-MOD005-0001,Monument Sign MS 005 — MS-MOD005,MS-MOD005-0001,OK,"""Height — 96"""""",""Length — 180"""""",""Depth — 42""""""",$8750.00,,10,checked,checked
MS-MOD005-0002,Monument Sign MS 005 — MS-MOD005,MS-MOD005-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$8750.00,,10,checked,checked
MS-MOD006-0001,Monument Sign MS 006 — MS-MOD006,MS-MOD006-0001,OK,"""Height — 82"""""",""Length — 120"""""",""Depth — 44""""""",$6750.00,,10,checked,checked
MS-MOD006-0002,Monument Sign MS 006 — MS-MOD006,MS-MOD006-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$6750.00,,10,checked,checked
MS-MOD007-0001,Monument Sign MS 007 — MS-MOD007,MS-MOD007-0001,OK,"""Height — 96"""""",""Length — 120"""""",""Depth — 40""""""",$6850.00,,10,checked,checked
MS-MOD007-0002,Monument Sign MS 007 — MS-MOD007,MS-MOD007-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$6850.00,,10,checked,checked
MS-MOD008-0001,Monument Sign MS 008 — MS-MOD008,MS-MOD008-0001,OK,"""Height — 48"""""",""Length — 111"""""",""Depth — 34""""""",$6750.00,,10,checked,checked
MS-MOD008-0002,Monument Sign MS 008 — MS-MOD008,MS-MOD008-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$6750.00,,10,checked,checked
MS-MOD009-0001,Monument Sign MS 009 — MS-MOD009,MS-MOD009-0001,OK,"""Height — 74"""""",""Length — 124"""""",""Depth — 60""""""",$7250.00,,10,checked,checked
MS-MOD009-0002,Monument Sign MS 009 — MS-MOD009,MS-MOD009-0002,OK,"Height — Any Custom Size,Length — Any Custom Size,Depth — Any Custom Size",$7250.00,,10,checked,checked
MS-MOD010-0001,Monument Sign MS 010 — MS-MOD010,MS-MOD010-0001,OK,"""Height — 96"""""",""Length — 240"""""",""Depth — 32""""""",$17850.00,,10,checked,checked
