"Строка CSV","Variation Label","Variation SKU","Parent Product","Критичность","Тип проблемы","Детали","Что исправить"
"2","Variation — recbgyAFPrVRzhOOA","","Round Column Set - Tuscan Cap & Base — 333","Критично","Missing SKU","Variation SKU пуст","Присвоить уникальный SKU"
"3","Variation — recKl8HY8OgzjbMBw","","Round Column Set - Tuscan Cap & Base — 0081E","Критично","Missing SKU","Variation SKU пуст","Присвоить уникальный SKU"
"4","Variation — recJokRNP9rLQUCgk","","Round Column Set - Tuscan Cap & Base — 111","Критично","Missing SKU","Variation SKU пуст","Присвоить уникальный SKU"
"9","Variation — rec8RJYXJQRGwM9EW","","""Smooth Wood Beams — TEST_SWB-001
""","Критично","Missing SKU","Variation SKU пуст","Присвоить уникальный SKU"
"2","Variation — recbgyAFPrVRzhOOA","","Round Column Set - Tuscan Cap & Base — 333","Критично","Invalid Parent Product","'Round Column Set - Tuscan Cap & Base — 333'","Связать с одним существующим Product Label"
"4","Variation — recJokRNP9rLQUCgk","","Round Column Set - Tuscan Cap & Base — 111","Критично","Invalid Parent Product","'Round Column Set - Tuscan Cap & Base — 111'","Связать с одним существующим Product Label"
"5","TEST-VARIABLE-001-S","TEST-VARIABLE-001-S","","Критично","Invalid Parent Product","''","Связать с одним существующим Product Label"
"6","TEST-VARIABLE-001-L","TEST-VARIABLE-001-L","","Критично","Invalid Parent Product","''","Связать с одним существующим Product Label"
"9","Variation — rec8RJYXJQRGwM9EW","","""Smooth Wood Beams — TEST_SWB-001
""","Критично","Invalid Parent Product","'""Smooth Wood Beams — TEST_SWB-001\n""'","Связать с одним существующим Product Label"
"21","GBV-MOD001-0001","GBV-MOD001-0001","""NovikVent Half Round Gable Vent 22""""x34"""" - White — GBV-MOD001""","Критично","Invalid Parent Product","'""NovikVent Half Round Gable Vent 22""""x34"""" - White — GBV-MOD001""'","Связать с одним существующим Product Label"
"22","GBV-MOD002-0001","GBV-MOD002-0001","""NovikVent Round 16"""" — GBV-MOD002""","Критично","Invalid Parent Product","'""NovikVent Round 16"""" — GBV-MOD002""'","Связать с одним существующим Product Label"
"23","GBV-MOD003-0001","GBV-MOD003-0001","""NovikVent Round 22"""" — GBV-MOD003""","Критично","Invalid Parent Product","'""NovikVent Round 22"""" — GBV-MOD003""'","Связать с одним существующим Product Label"
